Ejecucion,GA,PSO,AEMP-GA,AEMP-PSO,AEMP-HIB,AEMP-ACO
1,20370,19402,18960,18457,18555,18732
2,20339,19139,18640,18558,18611,18221
3,20360,19562,18959,18506,18814,18779
4,20243,19282,18821,18986,18795,18740
5,20382,19246,18553,18681,18608,18509
6,20127,18992,18720,18549,18483,18563
7,20285,19227,19003,18641,18549,18414
8,20390,19122,18780,18469,18621,18823
9,20471,19483,18599,18845,18496,18595
10,20419,19188,18743,18743,18937,18739
11,20371,19057,18637,18390,18822,18587
12,20436,18848,18980,18584,18778,19034
13,20410,18862,18503,18800,18755,18782
14,20361,19165,19001,18452,18819,18834
15,20553,19158,18903,18688,18448,18539
16,20317,18847,18816,18597,18505,18721
17,20373,19293,19093,18774,18563,18695
18,20401,18945,18842,18612,18778,18754
19,20507,18735,18586,18672,18603,18520
20,20507,19128,18781,19265,18672,19125
